Cluster Name,Gaia DR3 Name,Membership Probability,Right Ascension (deg),Declination (deg),parallax (milli-arcseconds),GAIA g apparent mag,GAIA colour bp - rp
NGC_2682,604920653012019000,1,132.8300566,11.82,1.167,13.71689,0.754776
NGC_2682,604920648716271000,1,132.827205,11.82,1.147,12.492557,0.782155
NGC_2682,604920549932808000,1,132.8126575,11.82,1.136,13.987426,0.780711
NGC_2682,604920889234434000,1,132.7856508,11.85,1.16,13.643402,0.746371
NGC_2682,604921305846837000,1,132.8645079,11.88,1.162,14.019467,0.805537
NGC_2682,604921271487287000,1,132.8678743,11.87,1.141,12.661663,0.747283
NGC_2682,604921271487102000,1,132.8562941,11.88,1.146,13.119683,0.765211
NGC_2682,604921202767815000,1,132.8625005,11.86,1.161,10.931228,0.122561
NGC_2682,604921202767810000,1,132.8706059,11.87,1.153,14.762794,1.004039
NGC_2682,604921198472075000,1,132.8699631,11.87,1.153,12.497738,0.851831
NGC_2682,604921168408082000,1,132.8433075,11.86,1.155,13.148642,0.747004
NGC_2682,604921129752601000,1,132.8281688,11.86,1.159,12.798285,1.030114
NGC_2682,604921030968953000,1,132.805595,11.86,1.15,13.129307,1.235869
NGC_2682,604920957953909000,1,132.8066858,11.86,1.155,13.462174,0.725509
NGC_2682,604920923594173000,1,132.8101049,11.84,1.13,13.237622,0.749763
NGC_2682,604917560635577000,1,132.8114506,11.79,1.151,12.681729,0.735446
NGC_2682,604911582041107000,1,132.8011791,11.77,1.177,13.054901,0.774237
NGC_2682,604914601402326000,1,132.7848857,11.79,1.21,12.12951,1.1317325
NGC_2682,604911375882675000,1,132.822807,11.76,1.172,9.258214,1.518608
NGC_2682,604911375882674000,1,132.8200353,11.76,1.17,13.967261,0.88873
NGC_2682,604911268509027000,1,132.8101262,11.75,1.186,12.683977,0.706868
NGC_2682,604911199788236000,1,132.8177966,11.74,1.173,13.301689,0.766843
NGC_2682,604917010879735000,1,132.9002641,11.8,1.168,14.304262,0.836677
NGC_2682,604916903504794000,1,132.953887,11.8,1.175,14.330846,0.8393645
NGC_2682,604916839081025000,1,132.9623783,11.8,1.191,15.487612,1.451103
NGC_2682,604916804721292000,1,132.9475379,11.79,1.14,14.115577,0.970707
NGC_2682,604916770361558000,1,132.9363633,11.78,1.171,12.726845,1.07178
NGC_2682,604916632922617000,1,132.892119,11.78,1.143,14.028581,0.795962
NGC_2682,604916564203137000,1,132.9051595,11.78,1.143,13.848256,0.815225
NGC_2682,604917148318677000,1,132.9200213,11.82,1.139,13.6566,0.7513055
NGC_2682,604917526275831000,1,132.8298726,11.8,1.169,13.535529,0.763662
NGC_2682,604917487620477000,1,132.8238507,11.78,1.197,15.443939,1.294168
NGC_2682,604917487620349000,1,132.8222291,11.78,1.195,12.937614,0.728776
NGC_2682,604917354477131000,1,132.8680438,11.78,1.155,14.733531,1.099157
NGC_2682,604917320117398000,1,132.8504408,11.79,1.178,13.319411,0.858448
NGC_2682,604917285757663000,1,132.8418298,11.78,1.169,13.048145,0.747276
NGC_2682,604914910640119000,1,132.7597207,11.81,1.161,16.008108,1.261675
NGC_2682,604904533998991000,1,132.9322468,11.75,1.148,12.958711,0.716693
NGC_2682,604921168408082000,0.99835157,132.840596,11.86,1.136,13.88508,0.846586
NGC_2682,604917625061651000,0.99513291,132.850541,11.81,1.098,16.603622,1.427603
NGC_2682,604917285757666000,0.99504271,132.8356725,11.77,1.173,12.782083,0.605691
NGC_2682,604922164840316000,0.99414809,132.8013561,11.88,1.139,15.971505,1.508014
NGC_2682,604918071736057000,0.99165023,132.8766344,11.83,1.189,15.435865,1.2977385
NGC_2682,604920962249663000,0.99132495,132.8151087,11.85,1.132,12.771166,1.014191
NGC_2682,604922920754523000,0.99072192,132.9045893,11.92,1.147,13.064538,0.753801
NGC_2682,604917491916096000,0.99025534,132.8278137,11.78,1.209,12.357132,0.997836
NGC_2682,604920756091232000,0.98874706,132.8199009,11.84,1.134,13.021137,0.754209
NGC_2682,604921988746029000,0.9872345,132.7321292,11.88,1.168,14.834445,0.936441
NGC_2682,604914468259140000,0.98686475,132.7635188,11.76,1.212,12.504823,0.786922
NGC_2682,604911341522930000,0.98624778,132.834659,11.76,1.199,13.010176,0.742992
NGC_2682,604914944999667000,0.98389806,132.7459392,11.82,1.145,13.40965,0.743544
NGC_2682,604921374566323000,0.98209449,132.8339382,11.88,1.134,13.7203045,0.751695
NGC_2682,604910340794779000,0.98188991,132.8253723,11.72,1.165,13.132758,0.757637
NGC_2682,604916181950392000,0.98153084,132.8795896,11.73,1.134,17.032236,1.610636
NGC_2682,604918247830312000,0.98055911,132.8762939,11.86,1.188,14.705593,0.926829
NGC_2682,604916667282345000,0.98029759,132.9333145,11.77,1.193,12.58977,0.908261
NGC_2682,604910546953208000,0.97923026,132.8406511,11.73,1.146,14.00755,0.852964
NGC_2682,604904950611554000,0.97811254,132.9591272,11.77,1.178,10.512736,1.1006705
NGC_2682,604921748227889000,0.97642973,132.7814553,11.87,1.123,14.714022,0.907801
NGC_2682,604910478233821000,0.97469383,132.8415809,11.73,1.191,16.311075,1.344437
NGC_2682,604914880575997000,0.97339208,132.7550285,11.81,1.169,16.365776,1.376446
NGC_2682,604922267919526000,0.96756019,132.8011626,11.91,1.166,14.00437,0.803354
NGC_2682,604918076031624000,0.96167624,132.8802205,11.83,1.12,16.10769,1.535782
NGC_2682,604917320118984000,0.96006921,132.8511973,11.79,1.148,14.751254,0.913031
NGC_2682,604916529843405000,0.95972926,132.890301,11.77,1.127,17.483412,1.821903
NGC_2682,604923333071377000,0.95854985,132.9274386,11.93,1.154,15.663899,1.148155
NGC_2682,604919617924301000,0.95854985,132.9497072,11.87,1.16,17.94578,2.008471
NGC_2682,604904778812856000,0.95557399,132.99107,11.76,1.181,15.176177,1.177704
NGC_2682,604905431647872000,0.95557399,133.0539117,11.76,1.176,17.637362,2.095631
NGC_2682,604923882827217000,0.95083897,132.827962,11.93,1.142,13.979341,0.785943
NGC_2682,604917728138508000,0.9461568,132.8490104,11.83,1.107,11.241152,1.059449
NGC_2682,604921477645535000,0.9454144,132.8413758,11.89,1.124,15.07166,0.989339
NGC_2682,604921816947364000,0.94514214,132.7729016,11.88,1.163,15.414886,1.241991
NGC_2682,604916495483676000,0.94340551,132.8687896,11.76,1.112,15.490891,1.228425
NGC_2682,604916117526552000,0.94313006,132.8936995,11.73,1.154,14.419957,0.844843
NGC_2682,604904469575230000,0.94247827,132.9414876,11.74,1.145,13.2420635,0.731149
NGC_2682,604922302279259000,0.941638,132.8190012,11.9,1.157,13.402018,0.778233
NGC_2682,604916598562881000,0.93968578,132.8840955,11.78,1.141,15.925077,1.269288
NGC_2682,604920549932810000,0.93870727,132.8109461,11.81,1.117,16.896048,1.563639
NGC_2682,604922229264429000,0.93786646,132.7885094,11.89,1.153,16.583542,1.446036
