Cluster Name,Gaia DR3 Name,Membership Probability,Right Ascension (deg),Declination (deg),parallax (milli-arcseconds),GAIA g apparent mag,GAIA colour bp - rp,,,,,
NGC_2477,5538870540248430000,0.92016521,118.0029996,-38.46,0.6945,19.669472,1.781376,,,,,
NGC_2477,5538866520162850000,0.91916296,118.1056722,-38.54,0.7031,16.90749,1.319924,,,,,
NGC_2477,5538494679075370000,0.91843784,117.9460013,-38.56,0.6974,11.059881,1.308227,,,,,
NGC_2477,5538870093575750000,0.91803801,117.987937,-38.53,0.7187,14.276526,0.9692375,,,,,
NGC_2477,5538871571044330000,0.91796748,118.1004008,-38.43,0.6819,15.751845,1.17334,,,,,
NGC_2477,5538882531801040000,0.91640646,117.9172305,-38.44,0.6781,17.069933,1.417571,,,,,
NGC_2477,5538506327026370000,0.9163814,117.8939731,-38.55,0.6723,15.537456,1.089242,,,,,
NGC_2477,5538506189587410000,0.91631945,117.8740412,-38.57,0.6819,15.153857,1.021526,,,,,
NGC_2477,5538870162295230000,0.91631945,117.9824047,-38.52,0.6992,15.850509,1.094408,,,,,
NGC_2477,5538869028423840000,0.91631945,118.0424049,-38.57,0.7013,11.67964,0.741057,,,,,
NGC_2477,5538493407764810000,0.91631945,117.9552482,-38.61,0.6935,13.296901,0.777163,,,,,
NGC_2477,5538494262453190000,0.91631945,117.9206658,-38.58,0.6774,18.211498,1.752423,,,,,
NGC_2477,5538506979861790000,0.91623816,117.8786702,-38.5,0.6708,14.747098,1.063438,,,,,
NGC_2477,5538495022672740000,0.91557889,117.943207,-38.53,0.7093,11.541508,1.4728455,,,,,
NGC_2477,5538866107846040000,0.91555077,118.0877526,-38.58,0.6942,11.740291,1.414451,,,,,
NGC_2477,5538865764248700000,0.91524192,118.0628597,-38.61,0.7081,14.095258,0.857606,,,,,
NGC_2477,5538493957520830000,0.91495836,118.0056073,-38.57,0.6661,14.778443,0.989491,,,,,
NGC_2477,5538869646899050000,0.91477665,118.0744032,-38.51,0.6703,13.208083,0.719211,,,,,
NGC_2477,5538869062783580000,0.91477665,118.0283272,-38.56,0.6717,15.191238,0.989169,,,,,
NGC_2477,5538494984007980000,0.91477665,117.925729,-38.53,0.6695,14.687362,1.016568,,,,,
NGC_2477,5538869608234180000,0.91464664,118.0657344,-38.52,0.7218,12.252402,1.425873,,,,,
NGC_2477,5538865455010940000,0.91462137,118.1600803,-38.59,0.6938,14.894514,0.939395,,,,,
NGC_2477,5538114351131640000,0.91441215,118.2476571,-38.63,0.6791,15.256732,1.327553,,,,,
NGC_2477,5538883562593200000,0.91276911,117.8835348,-38.41,0.6925,17.785753,1.592869,,,,,
NGC_2477,5538506361386090000,0.91128355,117.8710276,-38.55,0.6812,13.044616,0.704143,,,,,
NGC_2477,5538494232398510000,0.91038218,117.9401371,-38.59,0.7037,15.136234,1.051941,,,,,
NGC_2477,5538871571044330000,0.90937568,118.0975798,-38.43,0.6936,14.771423,1.013707,,,,,
NGC_2477,5538494198038770000,0.9087576,117.9280973,-38.59,0.6729,14.095278,0.917228,,,,,
NGC_2477,5538866206623350000,0.90846808,118.0781281,-38.56,0.6603,16.137884,1.177673,,,,,
NGC_2477,5538869200222590000,0.90812217,118.0546499,-38.54,0.685,15.920192,1.1420095,,,,,
NGC_2477,5538869853057470000,0.90806259,118.073624,-38.49,0.6792,15.002275,0.973212,,,,,
NGC_2477,5538865729888940000,0.90758495,118.0875653,-38.61,0.6736,13.220335,0.50267,,,,,
NGC_2477,5538866039126610000,0.90758495,118.0493541,-38.59,0.69,13.627035,0.7902875,,,,,
NGC_2477,5538868994064110000,0.90758495,118.0339421,-38.58,0.6786,12.39123,1.312019,,,,,
NGC_2477,5538493643977820000,0.90758495,118.006684,-38.6,0.6751,16.693233,1.26146,,,,,
NGC_2477,5538493820081900000,0.90758495,117.9870404,-38.59,0.6903,14.545936,0.907145,,,,,
NGC_2477,5538493682642920000,0.90758495,118.0209506,-38.59,0.6945,14.921263,0.972514,,,,,
NGC_2477,5538493717002660000,0.90758495,118.005768,-38.58,0.6847,15.523881,1.056932,,,,,
NGC_2477,5538494610355620000,0.90758495,117.9389483,-38.57,0.6928,15.622575,1.085611,,,,,
NGC_2477,5538490693345680000,0.90758495,118.0351822,-38.61,0.6791,13.598423,0.792982,,,,,
NGC_2477,5538869097143310000,0.90733447,118.0386334,-38.55,0.6864,12.544892,0.7077,,,,,
NGC_2477,5538507697111480000,0.90491809,117.8244914,-38.47,0.6858,19.084955,2.211542,,,,,
NGC_2477,5538869333356280000,0.90476827,117.9952209,-38.54,0.7025,12.131526,0.892274,,,,,
NGC_2477,5538869230277050000,0.90476827,118.0618777,-38.52,0.7103,12.735932,0.733665,,,,,
NGC_2477,5538865897385650000,0.90370642,118.0899099,-38.6,0.7183,18.555492,1.84323,,,,,
NGC_2477,5538871193087210000,0.90264246,118.1217493,-38.47,0.6758,13.171879,0.754401,,,,,
NGC_2477,5538865077053890000,0.90181196,118.1085764,-38.61,0.702,13.862746,0.928676,,,,,
NGC_2477,5538870059215870000,0.90145154,118.0816006,-38.45,0.6685,14.877431,1.06649,,,,,
NGC_2477,5538866172266740000,0.90105445,118.0732957,-38.56,0.7283,12.669919,0.67055,,,,,
NGC_2477,5538865420651210000,0.90105445,118.1517789,-38.59,0.715,15.341865,0.994255,,,,,
NGC_2477,5538493613923460000,0.90103216,118.0009246,-38.6,0.7141,16.422714,1.207664,,,,,
